# R64：从开源数据合并来的药名别名。**手工审过的那批在 core/herbs.py 的
# HERB_ALIASES 里**，这个文件是批量合并来的，冲突时以代码里那份为准。
# 药典分列的品种（南北五味子、川怀牛膝、生熟地黄、生制首乌、川广木香）
# 在生成时就被排除，不在这里出现。
别名	正名	出处
川黄柏	黄柏	zhongyao-xuexi-baodian/aliases.js
左秦艽	秦艽	zhongyao-xuexi-baodian/aliases.js
左转藤灰	海金沙	zhongyao-xuexi-baodian/aliases.js
巨句麦	瞿麦	zhongyao-xuexi-baodian/aliases.js
巴叶	枇杷叶	zhongyao-xuexi-baodian/aliases.js
巴菽	巴豆	zhongyao-xuexi-baodian/aliases.js
巴霜	巴豆	zhongyao-xuexi-baodian/aliases.js
帝膏	苏合香	zhongyao-xuexi-baodian/aliases.js
干归	当归	zhongyao-xuexi-baodian/aliases.js
干枣	大枣	zhongyao-xuexi-baodian/aliases.js
干梅	乌梅	zhongyao-xuexi-baodian/aliases.js
干葛	葛根	zhongyao-xuexi-baodian/aliases.js
广寄生	桑寄生	zhongyao-xuexi-baodian/aliases.js
建泽泻	泽泻	zhongyao-xuexi-baodian/aliases.js
当门子	麝香	zhongyao-xuexi-baodian/aliases.js
当陆	商陆	zhongyao-xuexi-baodian/aliases.js
忍冬	金银花	zhongyao-xuexi-baodian/aliases.js
怀山药	山药	zhongyao-xuexi-baodian/aliases.js
思仙	杜仲	zhongyao-xuexi-baodian/aliases.js
恶实	牛蒡子	zhongyao-xuexi-baodian/aliases.js
戴糁	黄芪	zhongyao-xuexi-baodian/aliases.js
扁柏叶	侧柏叶	zhongyao-xuexi-baodian/aliases.js
扁竹	射干	zhongyao-xuexi-baodian/aliases.js
手柑	佛手	zhongyao-xuexi-baodian/aliases.js
扫帚子	地肤子	zhongyao-xuexi-baodian/aliases.js
折耳根	鱼腥草	zhongyao-xuexi-baodian/aliases.js
抚芎	川芎	zhongyao-xuexi-baodian/aliases.js
抱茯神	茯神	zhongyao-xuexi-baodian/aliases.js
挂钩藤	钩藤	zhongyao-xuexi-baodian/aliases.js
接骨草	续断	zhongyao-xuexi-baodian/aliases.js
摘艼子	益智仁	zhongyao-xuexi-baodian/aliases.js
支解香	丁香	zhongyao-xuexi-baodian/aliases.js
故纸	补骨脂	zhongyao-xuexi-baodian/aliases.js
文术	莪术	zhongyao-xuexi-baodian/aliases.js
斑猫	斑蝥	zhongyao-xuexi-baodian/aliases.js
斑龙珠	鹿茸	zhongyao-xuexi-baodian/aliases.js
方通	通草	zhongyao-xuexi-baodian/aliases.js
旁其	乌药	zhongyao-xuexi-baodian/aliases.js
旁通	刺蒺藜	zhongyao-xuexi-baodian/aliases.js
旃那叶	番泻叶	zhongyao-xuexi-baodian/aliases.js
无娘藤子	菟丝子	zhongyao-xuexi-baodian/aliases.js
明天冬	天冬	zhongyao-xuexi-baodian/aliases.js
明没药	没药	zhongyao-xuexi-baodian/aliases.js
春砂仁	砂仁	zhongyao-xuexi-baodian/aliases.js
春花	辛夷	zhongyao-xuexi-baodian/aliases.js
春草	白薇	zhongyao-xuexi-baodian/aliases.js
曲药子	吴茱萸	zhongyao-xuexi-baodian/aliases.js
曲蟮	地龙	zhongyao-xuexi-baodian/aliases.js
望春花	辛夷	zhongyao-xuexi-baodian/aliases.js
木灵芝	灵芝	zhongyao-xuexi-baodian/aliases.js
